n100	n200	n300	n400	n500	n1000	n2000	n3000	n4000	n5000	n6000	n7000	MAF
0.549945008733907	0.546065383124435	0.543669534838584	0.541308145176942	0.538842173350582	0.527886449610398	0.510889233553057	0.489662747124952	0.471507946763148	0.455549812637292	0.44369427574622	0.433195503294999	0.000206072717017703
0.857738365923905	0.844238170704098	0.838660808968338	0.830683022868393	0.821106821106821	0.784137305307727	0.725433962264151	0.690966719492868	0.678665761074636	0.674288732925817	0.671119160818051	0.671194626820617	0.000412139168440118
0.932958328550109	0.915542857142857	0.904035771612016	0.895599358239743	0.883579695198808	0.833981693363844	0.768457142857143	0.753714285714286	0.765371428571429	0.770971428571429	0.775771428571429	0.782971428571429	0.000618158524914286
0.951485574852878	0.933380986418871	0.920539300057372	0.910094637223975	0.899799311926605	0.847023468803663	0.799142244460329	0.818727662616154	0.837884203002144	0.843888491779843	0.847176554681916	0.849320943531094	0.000824238411722659
0.961280026877205	0.938372773643281	0.928248113998324	0.915613227291754	0.902067464635473	0.852663266159378	0.850405552303704	0.877247261476712	0.882515260473284	0.882933355631742	0.888786687850155	0.890291830420604	0.00112885157621875
0.960007475238273	0.936849925705795	0.927452443118239	0.913966480446927	0.902175934535987	0.87351411589896	0.900074294205052	0.902303120356612	0.911218424962853	0.919762258543834	0.920690936106984	0.923291233283804	0.0014406107410847
0.965356564019449	0.942707282630623	0.927603640040445	0.914730248535058	0.908925686591276	0.880371192253379	0.91042969538027	0.918297357272544	0.930804922332056	0.937663909622756	0.939479523905588	0.942303812789994	0.00164830057090982
0.962333189840723	0.938705529361337	0.927268826432096	0.914003860175852	0.904159519725557	0.892841834547793	0.927989712816117	0.941491641663095	0.94513501928847	0.95049292756108	0.954779254179168	0.955636519502786	0.00185456569224175
0.96302729528536	0.939067746395418	0.927217851664935	0.914853639240506	0.909423152903991	0.912699980248864	0.941783527552834	0.953634208967016	0.958720126407268	0.96113964052933	0.962028441635394	0.963756666008295	0.00244989010319968
0.965581117418584	0.939195621132794	0.932432432432432	0.92840990240419	0.929489468047126	0.949607329842932	0.967455973346026	0.97340552118039	0.976082817705854	0.977986673012851	0.978522132317944	0.979295573536411	0.00349445688005712
