MAF	n100	n200	n300	n400	n500	n1000	n2000
0.000205850603453499	0.507287875198809	0.50059503854051	0.50008099056125	0.497312392281437	0.494382988070697	0.484119755421931	0.471411019803314
0.000411706591085989	0.850009100388662	0.81985276130467	0.830769594850435	0.823457002457002	0.817292583845064	0.794560808913023	0.769121094112193
0.000617551312999274	0.92497664794561	0.897664633260712	0.89914674712982	0.891474625990026	0.885190378410091	0.862414761974087	0.843597240377633
0.000823384427746777	0.947680402208202	0.91125591687512	0.922473166896009	0.913533137254902	0.905882732967893	0.880302010827533	0.866716374831634
0.00112038925517965	0.95038508391987	0.905470364542355	0.922403130059363	0.913065053763441	0.906267873910127	0.888196194225722	0.881821924993443
0.00144093958610272	0.95220515970516	0.919694561933535	0.924753449862005	0.918576499388005	0.912735635696821	0.898681776971895	0.893531419939577
0.00164678244985202	0.957836206896552	0.933450180861559	0.931019847833278	0.923960687148992	0.91851055408971	0.907610325550806	0.90306247944755
0.00185263409285714	0.955036390101892	0.9229475	0.929430590793766	0.921194715888527	0.916505244122966	0.907028224365845	0.904697857142857
0.0024372259527014	0.94972218969555	0.922656316093059	0.920109671179884	0.916482549170845	0.912918554216868	0.907016344582252	0.90606046914055
0.00347288889874541	0.950108097784568	0.93032365986567	0.92706230964467	0.922578020027887	0.920079584336586	0.916726650614624	0.91712583956406
0.00451003573886959	0.949575578611333	0.929588727502368	0.927812104930468	0.922926393934608	0.921332806823567	0.918910009472687	0.919035364698453
0.00555075191155989	0.954758729050279	0.936470577994429	0.932362243120864	0.930754874651811	0.929771935933148	0.928187151810585	0.929388057103064
0.00657727260760552	0.94927044688027	0.928343919765984	0.929641797283177	0.929101128290848	0.928827413288759	0.927633723359799	0.928530505641454
0.00750436992773261	0.94169609918355	0.927778982234267	0.929927732610659	0.929303824149353	0.928526046371575	0.926789822342668	0.926488407106293
0.00841418447884988	0.9438479889043	0.930493226430744	0.929440143765552	0.928784628144871	0.930628421343655	0.931689798175283	0.933319048935582
0.00946972193970421	0.952801711840228	0.941815130830489	0.946417235494881	0.945452502844141	0.945439704209329	0.943917519908988	0.944750853242321
0.010493095896521	0.952520535714286	0.941061254831995	0.944524531668153	0.944738626226583	0.944825750817722	0.944932500743384	0.94483526613143
0.0115146549880831	0.957504940374787	0.952208375893769	0.951323459312223	0.951569969356486	0.951934627170582	0.95138100102145	0.951850187265918
0.0125511105037095	0.949996875	0.943450214759859	0.946690355329949	0.947613041780554	0.947901210464662	0.947667707926591	0.947991409605623
0.0135747727425451	0.9539991600168	0.951288954220916	0.952956320873583	0.952286854262915	0.951702645947081	0.95215077698446	0.952064678706426
0.0145070851736651	0.955501556016597	0.952561430793157	0.953457231726283	0.95316588906169	0.952900984966304	0.953822187662001	0.95448367029549
0.0154395494146341	0.956809756097561	0.953627804878049	0.956296097560976	0.956644390243902	0.956428780487805	0.954605365853659	0.954634634146341
0.0164532911610879	0.961440083725798	0.957333158995816	0.958336820083682	0.958234832635983	0.958321652719665	0.958563284518828	0.959078451882845
0.0174969950574139	0.958411088911089	0.959249625561657	0.961510234648028	0.961925112331503	0.96181777333999	0.960964053919121	0.961467299051423
0.0185047081609195	0.954212190914319	0.957547126436782	0.960116091954023	0.961297126436782	0.96121091954023	0.959198275862069	0.959474137931035
0.0195386285312324	0.968790658413056	0.968483961733258	0.968613393359595	0.96930388294879	0.968562183455262	0.968062464828362	0.967616207090602
0.0205878096165933	0.96772155876807	0.964775612822124	0.965746700188561	0.96608359522313	0.965836580766813	0.965338152105594	0.964888120678818
0.0215360733483483	0.971456456456457	0.968287537537537	0.969683933933934	0.969623873873874	0.970268768768769	0.968788288288288	0.969237237237237
0.0224291207485227	0.963453053184504	0.964803676953381	0.966042678923178	0.966562048588313	0.966263952724885	0.96605252790545	0.966137885751806
0.0234751716383308	0.97126429675425	0.970339258114374	0.971569551777434	0.971504636785162	0.970869397217929	0.970677743431221	0.970403400309119
0.0244773976855547	0.962872306464485	0.963280127693536	0.965064644852354	0.965846767757382	0.965909018355946	0.965550678371907	0.96546049481245
