n100	n200	n300	n400	n500	n1000	n2000	MAF
0.345861007613802	0.334392374900715	0.33672974284328	0.334249232261193	0.329723614029417	0.323406980467499	0.310898965791567	0.000205997266401907
0.569899448589037	0.552066645305992	0.541545425153573	0.531522793404462	0.526349822179114	0.48936170212766	0.440064102564103	0.000411963749118872
0.636942675159236	0.608465608465608	0.605571847507331	0.590620420127015	0.5859375	0.549610894941634	0.500721500721501	0.000618006116402117
0.653649167733675	0.613979848866499	0.605615826419911	0.591836734693878	0.573240329740013	0.541429475015813	0.491183879093199	0.000823873501259446
0.690236898779612	0.647867465632711	0.642857142857143	0.625441696113074	0.615683504062169	0.568910821290095	0.550934085301375	0.0011255671906944
0.709375	0.665112665112665	0.645085803432137	0.626947040498442	0.613707165109034	0.564102564102564	0.57964257964258	0.00144133289044289
0.736214605067064	0.700589970501475	0.687964338781575	0.669372693726937	0.665191740412979	0.634218289085546	0.644542772861357	0.00164793177728614
0.803619302949062	0.764471057884232	0.745989304812834	0.740839440373085	0.728181212524983	0.70791749833666	0.705921490352628	0.00185390650698603
0.784124087591241	0.741654571843251	0.719403527914166	0.697856104651163	0.689066472938612	0.686865021770682	0.692307692307692	0.00247210812772134
0.810252334591695	0.756888802032441	0.73426435877262	0.720734805550127	0.721321086574165	0.72249364862224	0.727770177838577	0.00349021716044557
0.856152125279642	0.815367483296214	0.799242424242424	0.792650334075724	0.79532293986637	0.797327394209354	0.803563474387528	0.00452073063028953
0.868942468369539	0.825941821649976	0.819461006439304	0.816837586453613	0.816642823080591	0.82689556509299	0.83381020505484	0.00553064500953743
0.862534519791347	0.830229007633588	0.820763358778626	0.819847328244275	0.826564885496183	0.835114503816794	0.840916030534351	0.00657046647938931
0.891104294478528	0.85968137254902	0.854779411764706	0.860600490196078	0.862132352941177	0.875919117647059	0.878370098039216	0.00743398564338235
0.897129866439329	0.870281010502413	0.875390292364462	0.881067272211184	0.882202668180528	0.88787964802725	0.886744252057905	0.00843564777178541
0.908576814326107	0.892935635792779	0.89607535321821	0.901412872841444	0.902040816326531	0.908006279434851	0.914285714285714	0.00946702560753532
0.911421155094095	0.896562905317769	0.90402075226978	0.908560311284047	0.913099870298314	0.920557717250324	0.926718547341115	0.0104819189364462
0.902554744525547	0.90149580445093	0.909886902590295	0.909886902590295	0.918278000729661	0.926669098869026	0.93031740240788	0.011546607223641
0.90480065093572	0.891825945506303	0.906466043106954	0.91663277755185	0.920699471329809	0.927612850752338	0.928832858885726	0.012547066693778
0.908530805687204	0.910468972051161	0.924206537186168	0.928469919469446	0.935101847465656	0.937944102321175	0.938891520606348	0.0135378937944102
0.927019982623805	0.925716768027802	0.937445699391833	0.942658557775847	0.948305821025195	0.953084274543875	0.956993918331885	0.014463834013901
0.925264012997563	0.935850588712952	0.943158749492489	0.943970767356882	0.94884287454324	0.957369062119367	0.95818107998376	0.0154671772634998
0.928429423459245	0.930948832588177	0.936413313462494	0.939393939393939	0.94883258817685	0.953800298062593	0.952806756085445	0.0164815753104819
0.933706414119673	0.937177280550775	0.950946643717728	0.957401032702238	0.959122203098107	0.960413080895009	0.959982788296041	0.0175227282702238
0.931034482758621	0.936105476673428	0.948275862068966	0.949290060851927	0.956896551724138	0.957403651115619	0.960446247464503	0.0185398735294118
0.948207171314741	0.956769055745165	0.956769055745165	0.96188850967008	0.964163822525597	0.97098976109215	0.973265073947668	0.0195529323094425
0.939086294416244	0.958121827411167	0.954314720812183	0.95494923857868	0.95748730964467	0.965736040609137	0.966370558375635	0.0205008154187817
0.943887775551102	0.959251837007348	0.965263861055444	0.966599866399466	0.972611890447562	0.975283901135605	0.976619906479626	0.0214424918503674
0.951025810721377	0.963600264725347	0.972203838517538	0.974189278623428	0.974851091992058	0.980145598941099	0.982792852415619	0.0224636375909993
0.943306010928962	0.954948805460751	0.96518771331058	0.972696245733788	0.971331058020478	0.978156996587031	0.977474402730375	0.0234577561774744
0.959736456808199	0.971449487554905	0.978770131771596	0.979502196193265	0.972181551976574	0.98316251830161	0.980966325036603	0.0245030625915081
0.943278943278943	0.96037296037296	0.97047397047397	0.971250971250971	0.968919968919969	0.968919968919969	0.974358974358974	0.0255523059052059
0.938574938574939	0.956592956592957	0.961506961506961	0.963963963963964	0.968058968058968	0.966420966420966	0.965601965601966	0.0265869189189189
0.945111492281304	0.969125214408233	0.975128644939966	0.973413379073756	0.978559176672384	0.981989708404803	0.981132075471698	0.0275107961406518
0.947321428571429	0.96875	0.971428571428571	0.974107142857143	0.973214285714286	0.977678571428571	0.978571428571429	0.0284561446428571
0.952822240943555	0.960404380791912	0.966301600673968	0.962931760741365	0.966301600673968	0.96798652064027	0.973041280539174	0.0294687205560236
0.972830188679245	0.986415094339623	0.984150943396226	0.987924528301887	0.987924528301887	0.989433962264151	0.991698113207547	0.0304543486037736
0.959633027522936	0.976146788990826	0.98256880733945	0.984403669724771	0.980733944954128	0.98348623853211	0.98348623853211	0.0314970257798165
0.966386554621849	0.978524743230626	0.987861811391223	0.985060690943044	0.988795518207283	0.986928104575163	0.985060690943044	0.0325660094304388
0.978965819456617	0.98159509202454	0.983347940403155	0.982471516213848	0.982471516213848	0.985977212971078	0.988606485539001	0.033530407537248
0.958986731001206	0.973462002412545	0.980699638118215	0.981905910735826	0.983112183353438	0.984318455971049	0.987937273823884	0.0345132355850422
0.959259259259259	0.977777777777778	0.987654320987654	0.982716049382716	0.98641975308642	0.990123456790123	0.992592592592593	0.0354726630864198
0.974971558589306	0.982935153583618	0.985210466439135	0.986348122866894	0.987485779294653	0.984072810011377	0.982935153583618	0.0364636733788396
0.974304068522484	0.978586723768737	0.981798715203426	0.986081370449679	0.986081370449679	0.988222698072805	0.991434689507495	0.0375355035331906
0.972122302158273	0.986510791366906	0.987410071942446	0.986510791366906	0.986510791366906	0.989208633093525	0.989208633093525	0.0385122169964029
0.980309423347398	0.983122362869198	0.987341772151899	0.988748241912799	0.985935302390999	0.988748241912799	0.988748241912799	0.039516635302391
0.978313253012048	0.98433734939759	0.987951807228916	0.987951807228916	0.990361445783133	0.991566265060241	0.990361445783133	0.0405738813253012
0.986627043090639	0.992570579494799	0.989598811292719	0.99405646359584	0.99405646359584	0.99405646359584	0.991084695393759	0.0415648268945022
0.978007761966365	0.996119016817594	0.99353169469599	0.990944372574386	0.990944372574386	0.994825355756792	0.994825355756792	0.0424818895213454
0.974006116207951	0.992354740061162	0.992354740061162	0.992354740061162	0.99388379204893	0.995412844036697	0.992354740061162	0.0434403639143731
0.971428571428571	0.984126984126984	0.980952380952381	0.984126984126984	0.985714285714286	0.988888888888889	0.985714285714286	0.0445067517460317
0.984352773826458	0.994310099573257	0.997155049786629	0.997155049786629	0.995732574679943	0.997155049786629	0.995732574679943	0.0455262955903272
0.986036519871106	0.995703544575725	0.996777658431794	0.995703544575725	0.995703544575725	0.996777658431794	0.996777658431794	0.0465572237379162
