n100	n200	n300	n400	n500	n1000	n2000	n3000	MAF
0.554088508468403	0.54904811667954	0.547002321664315	0.543261572072277	0.540621728642301	0.527070063694268	0.511589855467685	0.492571220864192	0.000205862003725749
0.867090237829484	0.854172015404365	0.848648648648649	0.841396465946131	0.835077186963979	0.802279739458348	0.758045190003424	0.729824561403509	0.0004117188610184
0.933281267432779	0.918834778741383	0.912302206373969	0.904979391778991	0.896513311796814	0.852292965271594	0.81054036024016	0.795530353569046	0.000617593417945297
0.962196577795464	0.944091990483743	0.937235169491525	0.927058512046598	0.918353844118036	0.884717080909572	0.858842188739096	0.875099127676447	0.000823435248215702
0.968414173685739	0.951412020275163	0.944287268770403	0.933860323446225	0.925770206596593	0.895625090540345	0.900362056480811	0.919695872556119	0.00112730294351919
0.9660671869698	0.944734625105307	0.939178915357324	0.928969124346212	0.918043844856661	0.899578770008425	0.934119629317607	0.931760741364785	0.00144101165290649
0.972593353888318	0.957330602491893	0.947377413292329	0.935941236761189	0.929827556769677	0.918586789554531	0.947943335040109	0.954770438641406	0.001646914447858
0.974786867404317	0.955720224109886	0.949701465532839	0.939399421128799	0.932163531114327	0.929513826134104	0.943791794686427	0.954093620097596	0.00185273928429423
0.976776611040913	0.954741098213121	0.94808303233387	0.942005655862519	0.937581557198782	0.943176383635494	0.965479761749489	0.971262119038303	0.00245760745663232
0.974218791874364	0.954625715661619	0.948070025161947	0.944866716625629	0.947238869863014	0.965755257103109	0.978811065332549	0.983145165605436	0.0034925520707368
0.975152952927956	0.958294428882664	0.956113047808765	0.954930278884462	0.95941235059761	0.975474634298164	0.984624961095549	0.98655462184874	0.00451367452225335
0.976925758103869	0.962839248434238	0.963743910925539	0.966527487821851	0.971468336812804	0.979053583855254	0.988169798190675	0.989144050104384	0.00554934271329158
0.976979363643838	0.963321572167063	0.967747230201067	0.970706490522688	0.97579387872323	0.985148108640355	0.990645770082875	0.990645770082875	0.00656965809140888
0.972658394641485	0.960960631648207	0.963702160324597	0.970939796030266	0.974448952736046	0.985086084000439	0.989362868735607	0.989801513323829	0.00750003724750521
0.97377400799454	0.964633671083398	0.974668745128605	0.975935307872175	0.979832424006235	0.987139516757599	0.989867498051442	0.990452065471551	0.00843241607268122
0.974220557452903	0.96567279128617	0.976455055561668	0.979975794916933	0.982066233909121	0.987567389151722	0.988997689514798	0.99020794366817	0.00947241573660469
0.975147786222705	0.968885672937771	0.976000964785335	0.98022190062711	0.982995658465991	0.988904968644477	0.990472744814279	0.992402315484805	0.0104700000120598
0.972534696859021	0.970519556333917	0.981319322825452	0.981319322825452	0.985259778166959	0.989054290718039	0.990805604203152	0.991535318155283	0.0115193242119089
0.971715055372643	0.97247980855519	0.98459467544122	0.985641639246186	0.988782530661083	0.991325157044571	0.992072988333832	0.991624289560275	0.0125453041130721
0.974932705248991	0.978809283551968	0.986713757147662	0.986209216279852	0.989741002354524	0.990918264379415	0.991590985536495	0.991927346115035	0.0135780230743357
0.974249797242498	0.985002026753141	0.988244831779489	0.988244831779489	0.989258208350223	0.991487636805837	0.993514389947304	0.993311714633158	0.0144927923186056
0.969749518304432	0.97996532460027	0.987863610094394	0.988056251204007	0.990175303409748	0.991523791177037	0.992679637834714	0.993835484492391	0.0154393062993643
0.975695119580012	0.980559875583204	0.987752721617418	0.989113530326594	0.990279937791602	0.990863141524106	0.99241835147745	0.993001555209953	0.016489153440902
0.976274944567628	0.981818181818182	0.987361419068736	0.989135254988914	0.989578713968958	0.990909090909091	0.991352549889135	0.990909090909091	0.0174831553880266
0.977950084807366	0.9859462078992	0.989823116064938	0.991034649866731	0.991761570147807	0.993942330991035	0.995153864792828	0.994911558032469	0.018517488030046
0.979625101874491	0.980168432491171	0.987231730508014	0.989948383591415	0.991850040749796	0.993480032599837	0.993208367291497	0.991850040749796	0.0195513797881011
0.979946918313182	0.984075493954586	0.989973459156591	0.992627543497493	0.993807136537894	0.992922441757594	0.993512238277794	0.994396933058095	0.02057921695665
0.980783444198078	0.985957132298596	0.993717664449372	0.99150036954915	0.993717664449372	0.994456762749446	0.997043606799704	0.995934959349594	0.021498625646711
0.985488958990536	0.985178177231157	0.990539262062441	0.990223904131189	0.990223904131189	0.992116051718701	0.993062125512457	0.993062125512457	0.0224344534216336
0.981660899653979	0.98719723183391	0.994117647058824	0.995501730103806	0.994117647058824	0.994809688581315	0.997231833910035	0.995847750865052	0.0234773375778547
0.985074626865672	0.992181947405828	0.992537313432836	0.993248045486851	0.994314143567875	0.993958777540867	0.994314143567875	0.994314143567875	0.0244724692608387
0.984060721062619	0.991650853889943	0.994686907020873	0.994307400379507	0.994307400379507	0.994307400379507	0.996204933586338	0.996204933586338	0.0255120785958254
0.990388633514417	0.994985374007522	0.994567488508149	0.996656916005015	0.997074801504388	0.996239030505641	0.996656916005015	0.996239030505641	0.0265586748432929
0.980458793542906	0.994052676295667	0.994477485131691	0.995327102803738	0.996176720475786	0.997451146983857	0.99660152931181	0.99660152931181	0.0275720085811385
0.987654320987654	0.994095544820182	0.997852925389157	0.996779388083736	0.995169082125604	0.997316156736447	0.996779388083736	0.997852925389157	0.0284979143853999
0.985342789598109	0.991016548463357	0.996217494089835	0.995744680851064	0.994326241134752	0.994799054373522	0.995271867612293	0.996217494089835	0.0294180665248227
0.987833411324286	0.99157697707066	0.994852597098737	0.99438465138044	0.99578848853533	0.996256434253627	0.995320542817033	0.995320542817033	0.0304543941506785
0.989005235602094	0.995811518324607	0.996335078534031	0.995287958115183	0.996858638743455	0.99738219895288	0.99738219895288	0.99738219895288	0.0314931814136126
0.988733905579399	0.989270386266094	0.991952789699571	0.993025751072961	0.993562231759657	0.992489270386266	0.994098712446352	0.994098712446352	0.0325551424892704
0.986254295532646	0.994845360824742	0.994845360824742	0.995418098510882	0.995990836197022	0.996563573883162	0.997136311569301	0.997709049255441	0.0335533915234822
0.994912379875636	0.994347088750707	0.996608253250424	0.994912379875636	0.995477671000565	0.996042962125495	0.994912379875636	0.995477671000565	0.0345741941775014
0.987822349570201	0.994985673352435	0.996418338108882	0.996418338108882	0.996418338108882	0.997134670487106	0.997134670487106	0.997134670487106	0.0355088851002865
0.98948060486522	0.991452991452991	0.99474030243261	0.996055226824458	0.995397764628534	0.994082840236686	0.995397764628534	0.99474030243261	0.036417795200526
