n100	n200	n300	n400	n500	n1000	n2000	MAF
0.504213055395756	0.496280588373893	0.494705504245746	0.491365617924369	0.487648271433882	0.473853118032565	0.455476222551529	0.000205850603453499
0.842449521281638	0.805318754633062	0.810015145778114	0.797202797202797	0.785262163438828	0.736728770714353	0.662494204914233	0.000411706591085989
0.914129470883831	0.87683369644154	0.869296438033559	0.854062775007334	0.839835728952772	0.78352016305139	0.706463326071169	0.000617551312999274
0.937697160883281	0.88974408312488	0.889718891291527	0.872352941176471	0.855912294440094	0.782482598607889	0.723686742351357	0.000823384427746777
0.93489442338928	0.877524259113559	0.878440366972477	0.857123655913979	0.838900067069081	0.775984251968504	0.756359821662733	0.00112038925517965
0.936425061425061	0.884592145015106	0.874885004599816	0.853733170134639	0.839547677261614	0.799032940465397	0.802719033232628	0.00144093958610272
0.941644562334218	0.899375205524499	0.882897783658617	0.865213082259663	0.849274406332454	0.812890496547188	0.827359421243012	0.00164678244985202
0.938864628820961	0.889285714285714	0.878579195360638	0.858849077090119	0.844846292947559	0.812075741336192	0.826071428571429	0.00185263409285714
0.92339968774395	0.872909055950779	0.853191489361702	0.841207096027767	0.831903614457831	0.826939717334872	0.844356854451067	0.0024372259527014
0.917112299465241	0.872132809529844	0.858629441624365	0.848903536569907	0.847294386009378	0.861487770878216	0.885946014446838	0.00347288889874541
0.916360734237829	0.871013577518156	0.862673830594185	0.85499921023535	0.857842362975833	0.875592042942848	0.893905904641617	0.00451003573886959
0.923358938547486	0.877959610027855	0.870776732845698	0.872388579387187	0.875696378830084	0.896935933147632	0.914345403899721	0.00555075191155989
0.912310286677909	0.874843292937735	0.871473354231975	0.881738403677392	0.885708315921438	0.909945674885081	0.921019640618471	0.00657727260760552
0.899002116722105	0.861788617886179	0.875940981632039	0.883769948810599	0.889792231255646	0.905149051490515	0.915688045769347	0.00750436992773261
0.895977808599168	0.862316837157866	0.871163948023224	0.880011058888582	0.896322919546586	0.91152889134642	0.931711363008018	0.00841418447884988
0.911269614835949	0.897042093287827	0.91325369738339	0.919510807736064	0.927474402730375	0.938566552901024	0.951365187713311	0.00946972193970421
0.911904761904762	0.896223609872138	0.912578055307761	0.916146297948261	0.927445732976509	0.941123996431757	0.949449895926256	0.010493095896521
0.919931856899489	0.917602996254682	0.930200885257065	0.939053455907389	0.946203609124957	0.956758597208035	0.964249233912155	0.0115146549880831
0.91171875	0.906677079265912	0.916829363529871	0.923857868020305	0.936352987114408	0.944943381491605	0.959390862944162	0.0125511105037095
0.909701805963881	0.919781604367913	0.935321293574129	0.947081058378832	0.950020999580008	0.963880722385552	0.97060058798824	0.0135747727425451
0.912863070539419	0.918610679108346	0.930015552099533	0.941938828408502	0.94556765163297	0.952306894764126	0.956972524624158	0.0145070851736651
0.916585365853659	0.922439024390244	0.939024390243902	0.945365853658537	0.949756097560976	0.956585365853658	0.957560975609756	0.0154395494146341
0.934065934065934	0.934100418410042	0.949790794979079	0.955543933054393	0.957635983263598	0.968096234309623	0.973849372384937	0.0164532911610879
0.922077922077922	0.935596605092361	0.952071892161757	0.962556165751373	0.965551672491263	0.969545681477783	0.975037443834249	0.0174969950574139
0.918343875790684	0.941379310344828	0.952873563218391	0.956896551724138	0.958620689655172	0.966666666666667	0.971264367816092	0.0185047081609195
0.941474395047833	0.961170512099043	0.963421496904896	0.966235227912212	0.969048958919527	0.979178390545864	0.977490151941474	0.0195386285312324
0.948460087994972	0.956631049654305	0.966059082338152	0.964802011313639	0.97171590194846	0.973601508485229	0.976744186046512	0.0205878096165933
0.954204204204204	0.959459459459459	0.965465465465465	0.963963963963964	0.971471471471472	0.972222222222222	0.974474474474474	0.0215360733483483
0.937623112278398	0.955351280367695	0.961917268548917	0.966513460275771	0.966513460275771	0.970453053184504	0.973079448456993	0.0224291207485227
0.954404945904173	0.969088098918083	0.973724884080371	0.979134466769706	0.980680061823802	0.978361669242658	0.976816074188563	0.0234751716383308
0.940143655227454	0.953711093375898	0.962490023942538	0.967278531524342	0.970470869912211	0.966480446927374	0.971268954509178	0.0244773976855547
0.943975441289332	0.960092095165004	0.967766692248657	0.973906369915579	0.97544128933231	0.976976208749041	0.980813507290867	0.0255390643131236
0.95906432748538	0.971619365609349	0.973288814691152	0.979131886477462	0.979966611018364	0.981636060100167	0.984140233722871	0.0265195561769616
0.957913998170174	0.960658737419945	0.970722781335773	0.973467520585544	0.977127172918573	0.978956999085087	0.982616651418115	0.0275966593778591
0.977421704297159	0.985433357611071	0.983976693372178	0.985433357611071	0.986890021849964	0.989075018208303	0.989803350327749	0.028521556372906
0.969255663430421	0.977346278317152	0.978155339805825	0.98705501618123	0.986245954692557	0.985436893203884	0.985436893203884	0.0294420176375405
0.967418546365915	0.974101921470342	0.974101921470342	0.974937343358396	0.97827903091061	0.979949874686717	0.983291562238931	0.0304196512949039
0.978599221789883	0.979571984435798	0.983463035019455	0.987354085603113	0.989299610894942	0.990272373540856	0.988326848249027	0.0314956403696498
0.965589155370177	0.977083333333333	0.978125	0.978125	0.982291666666667	0.982291666666667	0.98125	0.0325085441666667
0.973952434881087	0.98074745186863	0.987542468856172	0.988674971687429	0.986409966024915	0.986409966024915	0.986409966024915	0.0335555934314836
0.978723404255319	0.981762917933131	0.986828774062817	0.989868287740628	0.991894630192503	0.988855116514691	0.99290780141844	0.0345928960486322
0.970705725699068	0.978695073235686	0.982689747003995	0.981358189081225	0.982689747003995	0.985352862849534	0.989347536617843	0.0355115117177097
0.978823529411765	0.988235294117647	0.992941176470588	0.995294117647059	0.991764705882353	0.991764705882353	0.995294117647059	0.0364390558823529
0.988505747126437	0.986206896551724	0.990804597701149	0.991954022988506	0.994252873563218	0.985057471264368	0.991954022988506	0.0374319249425287
0.9732868757259	0.981416957026713	0.986062717770035	0.986062717770035	0.983739837398374	0.984901277584204	0.989547038327526	0.0384738102206736
0.968586387434555	0.979057591623037	0.981675392670157	0.986910994764398	0.988219895287958	0.982984293193717	0.988219895287958	0.0394877272251309
0.97432239657632	0.980028530670471	0.984308131241084	0.991440798858773	0.984308131241084	0.990014265335235	0.98716119828816	0.0405821452211127
0.980440097799511	0.986552567237164	0.990220048899755	0.991442542787286	0.991442542787286	0.993887530562347	0.996332518337408	0.0415624497555012
0.988173455978975	0.992115637319317	0.992115637319317	0.993429697766097	0.994743758212878	0.994743758212878	0.994743758212878	0.0425071103810775
0.980416156670747	0.98531211750306	0.987760097919217	0.987760097919217	0.991432068543452	0.991432068543452	0.996328029375765	0.0434153187270502
0.967130214917826	0.981036662452592	0.978508217446271	0.986093552465234	0.984829329962073	0.988621997471555	0.989886219974716	0.0444852312262958
0.972375690607735	0.984806629834254	0.988950276243094	0.988950276243094	0.994475138121547	0.986187845303867	0.990331491712707	0.045476989640884
0.986702127659574	0.992021276595745	0.990691489361702	0.98936170212766	0.990691489361702	0.992021276595745	0.992021276595745	0.04651575
0.995481927710843	0.993975903614458	0.993975903614458	0.995481927710843	0.995481927710843	0.998493975903614	0.995481927710843	0.0475356602409639
0.990223463687151	0.988826815642458	0.991620111731844	0.990223463687151	0.987430167597765	0.994413407821229	0.993016759776536	0.0485388965083799
0.986899563318777	0.986899563318777	0.993449781659389	0.993449781659389	0.993449781659389	0.993449781659389	0.995633187772926	0.0495182602620087
0.988652482269504	0.988652482269504	0.991489361702128	0.988652482269504	0.990070921985816	0.991489361702128	0.988652482269504	0.0504346185815603
0.991364421416235	0.998272884283247	0.998272884283247	0.994818652849741	0.994818652849741	0.994818652849741	0.996545768566494	0.0514601119170984
0.989071038251366	0.986338797814208	0.993169398907104	0.994535519125683	0.993169398907104	0.991803278688525	0.994535519125683	0.0524656924863388
0.998407643312102	0.996815286624204	0.998407643312102	0.998407643312102	0.998407643312102	1	1	0.0535435342356688
0.975369458128079	0.972085385878489	0.977011494252874	0.980295566502463	0.985221674876847	0.978653530377668	0.985221674876847	0.0545574830870279
0.988175675675676	0.991554054054054	0.989864864864865	0.989864864864865	0.989864864864865	0.991554054054054	0.989864864864865	0.0555840195945946
0.987341772151899	0.991561181434599	0.987341772151899	0.987341772151899	0.991561181434599	0.989451476793249	0.987341772151899	0.0565053767932489
0.99601593625498	0.99601593625498	0.99601593625498	0.99800796812749	0.99800796812749	0.99601593625498	0.99402390438247	0.0574062123505976
1	0.997933884297521	1	0.997933884297521	0.997933884297521	0.997933884297521	0.995867768595041	0.0584892946280992
0.996323529411765	0.992647058823529	0.996323529411765	0.996323529411765	0.996323529411765	0.998161764705882	0.996323529411765	0.0594481180147059
0.985049833887043	0.990033222591362	0.991694352159468	0.993355481727575	0.991694352159468	0.988372093023256	0.990033222591362	0.0605063521594684
0.993055555555556	0.996527777777778	0.994791666666667	0.996527777777778	0.994791666666667	0.994791666666667	0.996527777777778	0.0615421298611111
0.992555831265509	0.993796526054591	0.992555831265509	0.993796526054591	0.996277915632754	0.995037220843672	0.995037220843672	0.0625301725806452
0.992292870905588	0.994219653179191	0.998073217726397	0.998073217726397	0.998073217726397	1	1	0.0634674832369942
0.993951612903226	0.993951612903226	0.993951612903226	0.993951612903226	0.991935483870968	0.991935483870968	0.991935483870968	0.0644387461693548
0.987037037037037	0.987037037037037	0.985185185185185	0.987037037037037	0.987037037037037	0.988888888888889	0.983333333333333	0.0654412703703704
0.98972602739726	0.998287671232877	0.996575342465753	0.996575342465753	0.99486301369863	0.996575342465753	0.99486301369863	0.0665280844178082
0.995192307692308	0.993589743589744	0.993589743589744	0.996794871794872	0.996794871794872	0.996794871794872	0.995192307692308	0.0674869636217949
0.993569131832797	0.995176848874598	0.996784565916399	0.996784565916399	0.996784565916399	0.998392282958199	0.998392282958199	0.0684789662379421
0.993449781659389	0.997816593886463	0.993449781659389	0.991266375545852	0.991266375545852	0.991266375545852	0.991266375545852	0.0695828890829694
0.997282608695652	0.994565217391304	0.994565217391304	0.991847826086957	0.994565217391304	0.991847826086957	0.991847826086957	0.0705021445652174
