MAF	n100	n200	n300	n400	n500	n1000	n2000
0.000205997266401907	0.349823100599384	0.339717394757744	0.343210253922044	0.34126103119444	0.338290124454501	0.334446365674031	0.325362450278441
0.000411963749118872	0.576164774570224	0.563083627042614	0.560292596184934	0.553650824442289	0.54904494018752	0.529064796905222	0.507233012820513
0.000618006116402117	0.643953944145027	0.62412987012987	0.626465786901271	0.619984367366878	0.61720166015625	0.598562256809338	0.582288119288119
0.000823873501259446	0.661790012804097	0.635345717884131	0.636402042118698	0.630207270408163	0.623115409004439	0.602685641998735	0.58663476070529
0.0011255671906944	0.70232376166547	0.675842791681354	0.679851131541726	0.670894699646643	0.665976333451077	0.647516390553401	0.63710927035601
0.00144133289044289	0.7302125	0.70637296037296	0.699070202808112	0.691751557632399	0.685111370716511	0.665966588966589	0.659289044289044
0.00164793177728614	0.755922503725782	0.733091445427729	0.73179940564636	0.727285608856089	0.727422566371681	0.712085545722714	0.708923303834808
0.00185390650698603	0.825012064343164	0.803260811709913	0.797659090909091	0.792132578281146	0.786504996668887	0.775641383898869	0.768977378576181
0.00247210812772134	0.809447445255474	0.787293722786647	0.779256228405165	0.772156068313953	0.769474936432982	0.760371371552975	0.756170174165457
0.00349021716044557	0.840596860719253	0.814636896619113	0.810648701809599	0.804952706664061	0.802035763142466	0.795231385577487	0.79202364666797
0.00452073063028953	0.883089932885906	0.864938530066815	0.860143270944742	0.856017817371938	0.854771714922049	0.848358574610245	0.8461285077951
0.00553064500953743	0.901475769873478	0.882991177873152	0.879049367994276	0.875176723109945	0.872737005245589	0.869441106342394	0.868043872198379
0.00657046647938931	0.902544645596809	0.889000916030534	0.884357251908397	0.882294961832061	0.881828396946565	0.878592061068702	0.879084580152672
0.00743398564338235	0.926235889570552	0.910474264705882	0.906824448529412	0.905215073529412	0.903247242647059	0.901322303921569	0.899574754901961
0.00843564777178541	0.934555555555556	0.922738291229066	0.921206074368436	0.918643485665626	0.917655123474312	0.914408458699972	0.913382060743684
0.00946702560753532	0.947701225259189	0.936936577708006	0.934032025117739	0.93305557299843	0.932182103610675	0.930302354788069	0.929894819466248
0.0104819189364462	0.946881245944192	0.939853437094682	0.937918936446174	0.93714850843061	0.936832036316472	0.936188715953307	0.936264915693904
0.011546607223641	0.948997810218978	0.941923750456038	0.939079897847501	0.938604888726742	0.93902626778548	0.937786574242977	0.937838744983583
0.012547066693778	0.948841741253051	0.939690931272875	0.938367629117527	0.937793818625458	0.93803497356649	0.93673241154941	0.936942659617731
0.0135378937944102	0.950455450236967	0.947193273330175	0.950878256750355	0.950413548081478	0.950178588346755	0.949875888204642	0.949139744197063
0.014463834013901	0.95983058210252	0.953435273675065	0.953777584708949	0.95448045178106	0.954834057341442	0.954144222415291	0.954588184187663
0.0154671772634998	0.962432981316003	0.958301664636622	0.957320341047503	0.957008526187576	0.957565976451482	0.956931384490459	0.956676410881039
0.0164815753104819	0.960381709741551	0.954013412816691	0.954215101838053	0.954131147540984	0.953608047690015	0.953406358668654	0.953332339791356
0.0175227282702238	0.965499784761085	0.963711703958692	0.963492685025818	0.963342943201377	0.963082616179002	0.960666953528399	0.960858864027539
0.0185398735294118	0.963040567951318	0.959825050709939	0.960026369168357	0.960662271805274	0.961504056795132	0.961339249492901	0.962310851926978
