MAF	n100	n200	n300	n400	n500	n1000	n2000	n3000
0.000205862003725749	0.555876115461664	0.551702349039029	0.550722902535622	0.547707887670111	0.545815210959902	0.536381119199272	0.525754022361604	0.516105047934936
0.0004117188610184	0.869354254314416	0.861132049636286	0.859521664521665	0.855508577800652	0.851996140651801	0.836557164895441	0.819873416638138	0.811331450577664
0.000617593417945297	0.938903380564543	0.929467422726262	0.927299754847337	0.923441127325387	0.920516096691545	0.903397707034728	0.891484211696687	0.885589504113854
0.000823435248215702	0.96822469823584	0.957905233941316	0.955813956567797	0.950615832671432	0.946374222575096	0.933397673188789	0.927484007401533	0.925210811525245
0.00112730294351919	0.97360245425501	0.963779942070963	0.961777439245557	0.957009282761622	0.953615947807177	0.942932203389831	0.939896813902969	0.93860905141202
0.00144101165290649	0.975379708177808	0.963305812973884	0.963098327420172	0.958557617681795	0.955235750421585	0.948535130581297	0.947655433866891	0.946050547598989
0.001646914447858	0.981610483042138	0.973712237583205	0.970349735178541	0.965462931329006	0.962738774116442	0.955929851510497	0.954547704386414	0.954362519201229
0.00185273928429423	0.980796662434246	0.972119284294235	0.970959652614438	0.967291968162084	0.964240774240232	0.959189409000542	0.954583047171516	0.955263871317549
0.00245760745663232	0.983729292841271	0.973383592017738	0.971381913921406	0.968464476832717	0.966525489343193	0.962994521977305	0.962617234033303	0.961744576322769
0.0034925520707368	0.983552714798735	0.97458858151854	0.973329514427967	0.971241087677979	0.970250053510274	0.968963614960672	0.968780459093584	0.968431269730858
0.00451367452225335	0.984831689349482	0.977154870837224	0.975561752988048	0.973148966633466	0.9726578062749	0.970938997821351	0.971383380018674	0.971042141300965
0.00554934271329158	0.986588079470199	0.979572651356994	0.978516353514266	0.977304592901879	0.97599220598469	0.972982254697286	0.974274739039666	0.974575504523312
0.00656965809140888	0.986940475211708	0.980038729794043	0.980008863356586	0.978816936079429	0.978876425699516	0.977488635431197	0.977456470009026	0.977172560925576
0.00750003724750521	0.98332227956517	0.97784768066674	0.978094527908762	0.977053295317469	0.976929707204737	0.976898015133238	0.97771619695142	0.977411009979164
0.00843241607268122	0.984364921517013	0.97980173421668	0.980162607170694	0.978854345284489	0.978583008573656	0.978895946999221	0.979432677318784	0.978954403741231
0.00947241573660469	0.985762807094855	0.980088348553196	0.980209153922324	0.979240840576521	0.979001980415887	0.978799867972274	0.979360435691495	0.979485091869293
0.0104700000120598	0.986481481481482	0.981722503617945	0.981869995176073	0.980917028461167	0.980854438012542	0.980554148576942	0.980967800289436	0.981087554269175
0.0115193242119089	0.985085756026297	0.980443374197315	0.98086310566258	0.979680531231757	0.979731611208406	0.979341798015178	0.979545534150613	0.979653385872738
0.0125453041130721	0.985003442083209	0.981289261142686	0.982292551600359	0.981706700568352	0.981888722704158	0.981542626383488	0.981844301525576	0.981689949147472
0.0135780230743357	0.986132907133244	0.982780020181635	0.983197948200471	0.982574503868147	0.982636730575177	0.982939623276152	0.983411537167844	0.983410528086108
0.0144927923186056	0.986607461476075	0.984821645723551	0.985044791244426	0.983921767328739	0.98407478719092	0.984106201864613	0.984605391163356	0.984588569112282
0.0154393062993643	0.985063005780347	0.98313927952225	0.983552879984589	0.983043344249663	0.983220381429397	0.983155654016567	0.983747254864188	0.983725871701021
0.016489153440902	0.987127163134357	0.984566485225505	0.985093895800933	0.984727643856921	0.984778382581649	0.984332231726283	0.984658437013997	0.98453732503888
0.0174831553880266	0.985828381374723	0.982894235033259	0.984205764966741	0.983947671840355	0.983791574279379	0.983346563192905	0.983860753880266	0.983711086474501
0.018517488030046	0.987424763750909	0.985325660285922	0.986060092076569	0.985334625636055	0.985542282529683	0.985277925854131	0.985520717228011	0.985353525563363
0.0195513797881011	0.988436294485194	0.984686498234176	0.985300461831024	0.984884270578647	0.985048899755501	0.984554740559631	0.984848682423255	0.984815539255637
0.02057921695665	0.988218224712474	0.984792391624889	0.985819817163079	0.985183426717782	0.985417870834562	0.984341787083456	0.984785019168387	0.984752875258036
0.021498625646711	0.988579453067258	0.985958610495196	0.987048410938655	0.986192904656319	0.986185883222469	0.986470805617147	0.987121212121212	0.987120842572062
0.0224344534216336	0.988290851735016	0.985315988647114	0.98484137496058	0.984147272153895	0.983813938820561	0.983919899085462	0.984311888994008	0.984296436455377
0.0234773375778547	0.988009342560554	0.98673044982699	0.988259861591696	0.987449826989619	0.987162629757785	0.986698269896194	0.986884083044983	0.986923529411765
0.0244724692608387	0.988958066808813	0.987025586353945	0.987280383795309	0.986711798152097	0.986733475479744	0.98702380952381	0.987352523098792	0.9874513148543
0.0255120785958254	0.988400379506641	0.987396584440228	0.988006831119545	0.987750664136622	0.987984819734345	0.98782770398482	0.988203795066414	0.98807210626186
0.0265586748432929	0.991140409527789	0.987977852068533	0.987987045549519	0.987910154617635	0.987956539908065	0.987920601755119	0.987888006686168	0.987513999164229
0.0275720085811385	0.988435429056924	0.988135514018692	0.987633814783347	0.987672472387426	0.987502973661852	0.987580713678844	0.98796686491079	0.987892948173322
0.0284979143853999	0.989084272678476	0.98892270531401	0.989371980676328	0.98892860976919	0.988634997316157	0.988544820182501	0.988203435319377	0.988142243692968
0.0294180665248227	0.988449645390071	0.987772576832151	0.98760378250591	0.986785815602837	0.986724822695035	0.986535697399527	0.987157446808511	0.987091725768321
0.0304543941506785	0.987862891904539	0.986000935891437	0.987220870379036	0.986786616752457	0.987291530182499	0.987312587739822	0.987251754796444	0.987451567618156
0.0314931814136126	0.989744502617801	0.988520418848168	0.988523036649215	0.98822722513089	0.98846387434555	0.987702094240838	0.987893717277487	0.987985340314136
0.0325551424892704	0.987979077253219	0.985765021459228	0.986730150214592	0.986783798283262	0.98636856223176	0.986605686695279	0.987045064377682	0.987221030042919
0.0335533915234822	0.989041809851088	0.98769873997709	0.9883843069874	0.988134593356243	0.988022336769759	0.987800114547537	0.988301832760596	0.988258304696449
0.0345741941775014	0.989934991520633	0.987533069530808	0.988553985302431	0.987886376483889	0.98763651780667	0.987349349915206	0.987750141322781	0.987748445449406
0.0355088851002865	0.988946991404011	0.98867335243553	0.989330229226361	0.988707736389685	0.988900429799427	0.988772922636103	0.989145415472779	0.989261461318052
0.036417795200526	0.988942143326759	0.986723865877712	0.987854700854701	0.987205128205128	0.987189349112426	0.987169625246548	0.987305062458909	0.987190664036818
0.037467032651715	0.991456464379947	0.989836411609499	0.990214379947229	0.989926121372032	0.989864116094987	0.989614116094987	0.990042875989446	0.989990765171504
0.0384911871571906	0.993296321070234	0.990433444816054	0.991027424749164	0.990624080267559	0.990291638795987	0.989858193979933	0.990234113712375	0.990092307692308
0.0394968838225256	0.990112627986348	0.989115358361775	0.989625938566553	0.989419112627986	0.989279180887372	0.988830034129693	0.988865529010239	0.988763822525597
0.0405540574001566	0.989284259984338	0.98867580266249	0.988870007830854	0.988793265465936	0.988781519185591	0.988356303837118	0.988400939702428	0.988337509788567
0.0415696652512385	0.993005661712668	0.992007784854919	0.992023354564756	0.991801840056617	0.991808209483369	0.991416135881104	0.991514508138712	0.99169355980184
0.0425095210979548	0.991096878363832	0.989935414424112	0.990631862217438	0.990146393972013	0.989339074273412	0.989393972012917	0.98927125941873	0.989273412271259
0.0434150790610329	0.993084507042253	0.990209389671362	0.989774647887324	0.989777464788732	0.989750234741784	0.989176525821596	0.989825352112676	0.989745539906103
0.044474299382716	0.993327160493827	0.991697530864198	0.991487654320988	0.991004409171076	0.990645502645503	0.990453262786596	0.990783068783069	0.991
0.0454831561936013	0.991722723543888	0.990901558654635	0.991378999179655	0.990737489745693	0.990551271534044	0.990950779327317	0.991264150943396	0.991333059885152
0.046517244004065	0.989511178861789	0.987157520325203	0.987788617886179	0.987540650406504	0.986941056910569	0.98664837398374	0.987092479674797	0.987261178861789
