MAF	n100	n200	n300	n400	n500	n1000	n2000	n3000	n4000	n5000	n6000	n7000
0.000206072717017703	0.551275215112894	0.548334830081406	0.546933363524617	0.545169470142977	0.543389197930142	0.535912412299137	0.525043944681401	0.515700478097946	0.5103112805272	0.504768122496447	0.500534274454064	0.496827497092648
0.000412139168440118	0.861930347127482	0.853544864538525	0.852799727314043	0.84906868090262	0.844775456128397	0.828726221079692	0.80867358490566	0.79994324956607	0.79497381329711	0.79185970870123	0.789674741528941	0.78756969285337
0.000618158524914286	0.939187234531053	0.9291872	0.926003439578078	0.922724157689663	0.918377334708376	0.898341418764302	0.880036685714286	0.874833942857143	0.8723216	0.870592228571429	0.869170171428571	0.868130857142857
0.000824238411722659	0.958327544136644	0.948166118656183	0.943956110154905	0.939368798394035	0.934614535550459	0.916886090440756	0.904455468191565	0.903419299499643	0.90071265189421	0.89936411722659	0.897747105075054	0.896624017155111
0.00112885157621875	0.968512094742147	0.956547537419517	0.95386051969824	0.948616910841356	0.943571356825981	0.926231457479722	0.918309055941132	0.917280876327452	0.916190484154193	0.915574295509658	0.915119491596287	0.914464336482984
0.0014406107410847	0.968724350588675	0.956044019316493	0.953913465124953	0.948602420856611	0.94517686442254	0.933810921248143	0.927144873699851	0.925798105497771	0.925250371471025	0.924502228826152	0.923693536404161	0.923602154531946
0.00164830057090982	0.973808954619125	0.961528142021384	0.956337714863499	0.951862598504748	0.949773021001616	0.939748638289288	0.934694775065564	0.934002219084124	0.933215856364737	0.933098648376034	0.932317127294735	0.932003832963486
0.00185456569224175	0.973292294446836	0.961522717531076	0.958831795751985	0.954107656015441	0.949843481989708	0.943549292756108	0.941890055722246	0.941181525932276	0.939381268752679	0.939091298756965	0.938721174453493	0.938716245177883
0.00244989010319968	0.974145359801489	0.962016245309105	0.959785413883529	0.954979974287975	0.952649496246543	0.946142455066166	0.945536045822635	0.945131443808019	0.944772170649812	0.944455708078214	0.944301994864705	0.944149614852854
0.00349445688005712	0.977583089333732	0.965399869109948	0.964483390879867	0.961332004284694	0.96008133999762	0.955893562589243	0.954668253212756	0.954535518800571	0.95415409328891	0.953919502617801	0.95373238933841	0.953849059971442
0.00452279079650185	0.977784701593303	0.969944567776657	0.967468291369328	0.965294913201453	0.964199138858988	0.96154920955264	0.959993878237471	0.959531584258325	0.959281533804238	0.959118264379415	0.959257719475277	0.959260141271443
0.00554916657010946	0.977451319516923	0.970309405018989	0.969005063668181	0.968447985702584	0.968367115943108	0.966342467793581	0.964913545312384	0.964847568694616	0.964499069178643	0.964331968128677	0.964253332340457	0.964318266438305
