Core_1000G	Core_HRC	Core_TOPMed	OmniExp_1000G	OmniExp_HRC	OmniExp_TOPMed	Omni25_1000G	Omni25_HRC	Omni25_TOPMed	MEGA_1000G	MEGA_HRC	MEGA_TOPMed	MAF
0.0102615948239994	0.0319191998344472	0.472626922422826	0.014853538873741	0.0394232689066599	0.494370318201568	0.0184814967295795	0.0432011862355338	0.504564408518596	0.017715323607994	0.0428709721401076	0.500265984739736	0.000206088547439171
0.0214945714961497	0.0378681475532073	0.608847934528651	0.0353382572027406	0.0531734717733787	0.674889618759256	0.0474371862317669	0.0627988061486379	0.7095415330384	0.0428827004007242	0.0616571786099855	0.692065271854242	0.000412162231651463
0.0295485051239804	0.0378489607343281	0.622051075476006	0.0545731906830374	0.0589097053874869	0.719453383921157	0.0778289505256315	0.074118045689007	0.769810179321136	0.0666366125741476	0.0714384809692154	0.744422808729454	0.000618251833262318
0.0352836031552215	0.0366527538546537	0.628900733092219	0.0708039872045462	0.0617965634271017	0.747263323568056	0.105664634684223	0.082241432942258	0.808779464132337	0.0871167979794697	0.0772718198236679	0.776712366926816	0.00082433935692677
0.045053444083859	0.0385140724495489	0.706720502905647	0.0981042629481482	0.0704373491497633	0.832939328423255	0.154348926308873	0.0996029614370931	0.889009371767495	0.121542560669357	0.0912330392909835	0.862363541116355	0.00111913047570266
0.0540815089480923	0.0402131155079364	0.737617729805654	0.125775982074553	0.0786119483472888	0.862909833495671	0.201850442910711	0.114841166659003	0.913660628811979	0.155168197380577	0.10358864275771	0.889988211343029	0.00144044011481399
0.0606954753199848	0.041495756964821	0.744708711614177	0.14369458758154	0.0830700300260749	0.874226078234958	0.230633434939916	0.124316308426423	0.924252229160625	0.17492119896612	0.109814891970716	0.901448368701458	0.00164847904134379
0.064335155153094	0.0418347112617109	0.751291015190784	0.155785732510306	0.0864461682848186	0.883575123580853	0.256660235836881	0.133434495806532	0.932768733335422	0.192199746646195	0.116600940900525	0.911142643563426	0.00185474489880022
0.0799699209100888	0.0475000384097346	0.791185904822385	0.199316221369811	0.10542789297853	0.916135758780039	0.329349817084308	0.167146361573877	0.95635160441729	0.244409676521751	0.139806312511843	0.940309992164414	0.00242660004312133
0.104519294553761	0.0605245879025207	0.830186829244873	0.265186765005203	0.144383052358035	0.944855315359299	0.437881253985395	0.236364115855906	0.974453573990913	0.322502750472162	0.184751936826033	0.96427124828497	0.00347256690807033
0.127830954779915	0.0762393416244342	0.854817698542791	0.320453366317277	0.186830796878055	0.959760402724935	0.520686083582718	0.308923710844098	0.982471953621968	0.387123667233108	0.233844195978766	0.975781802186565	0.00450904934178422
0.148283956007903	0.0918898315919996	0.873950917788623	0.36763411003814	0.229321712111818	0.96891652936224	0.58352974098314	0.376322283845039	0.98671986760878	0.438297441192293	0.28058229942899	0.981953011731387	0.00554341225342497
0.166504614200606	0.105827704443788	0.88357303355345	0.402766802492974	0.263890702196813	0.972991637405603	0.630417305141931	0.433023658514798	0.988524623958111	0.477492458547781	0.31982285317703	0.985009860577617	0.00650206271949233
0.184046900923919	0.120747262610896	0.893907509201197	0.436593463484104	0.296507344171574	0.976342809284771	0.667649069985635	0.479403985094327	0.989829651971256	0.514367648539912	0.355824361835398	0.987117441369428	0.00742410909864495
0.199157402721245	0.132456995687356	0.903888805297889	0.468778761546143	0.327893838995918	0.97980658562465	0.704717724049391	0.525618904506293	0.991699088033047	0.550931996224726	0.392829716014233	0.98930729983918	0.00843703753110399
0.213637444959626	0.146159405002895	0.908611658460171	0.49382156370769	0.355420551099461	0.981276173633585	0.732204173418136	0.561425281990745	0.992071044162466	0.579592532912012	0.42442019650704	0.989849230893528	0.00946581596213492
0.229189805933076	0.15592499848543	0.913785617641713	0.521976413093964	0.381060804943557	0.982405743250066	0.759463539247561	0.596134816938953	0.992487731981664	0.607708657283063	0.453411821724994	0.990682869201721	0.010497346065904
0.245049408272468	0.167823525144933	0.91968296126012	0.545510849733011	0.407131418751151	0.984254077368166	0.780226647546883	0.625331294881738	0.99322903008018	0.63566769519197	0.482488101282774	0.991945698327763	0.0115276561728257
0.256786896291421	0.177343635461865	0.920104435384505	0.562522420230768	0.421830988112209	0.984543687866717	0.798634354500111	0.648344724110287	0.993265352594196	0.654583397019786	0.50276841110359	0.991552836880539	0.0125535531335294
0.262409635740062	0.183091518508858	0.923445851516485	0.577941972227953	0.439202419835174	0.985705220786602	0.811575189682221	0.668790899924867	0.993923161668814	0.672002553751406	0.523783756428174	0.992611249742094	0.0135058651416826
0.272357017755768	0.189606232636792	0.926191267061239	0.59432374078995	0.456199420219833	0.986426500785119	0.82586967025003	0.687662308249789	0.994817459838145	0.690542336030922	0.543396696460925	0.993088688247373	0.0144358732100797
0.283234706350284	0.198866921479987	0.928573368774374	0.611726586600958	0.474573640402786	0.987000640266972	0.840193244213345	0.705966124056576	0.994664441900623	0.709082089986613	0.564513688131779	0.993496439727595	0.0154455825746493
0.291815215611182	0.2081490906495	0.931098485325674	0.621621167647195	0.486740825659179	0.987927117583576	0.848070648408269	0.719039880404977	0.995107858081692	0.722777224874757	0.580111448451942	0.994263806128405	0.0164777147809874
0.300698420688353	0.215072224069896	0.931020844756452	0.635171818680281	0.499343826122911	0.987316967937367	0.857039487285507	0.732995658465991	0.994431510727993	0.737647302046723	0.59987775390783	0.9937933142174	0.0175044936814051
0.313638625229639	0.227246631965707	0.934265921616656	0.643792100428659	0.512606207899571	0.987886558481323	0.865216434476424	0.747861489589712	0.994699173300674	0.750263127679118	0.617345376607471	0.99420640691978	0.0185333409082211
