Core_1000G	Core_HRC	Core_TOPMed	OmniExp_1000G	OmniExp_HRC	OmniExp_TOPMed	Omni25_1000G	Omni25_HRC	Omni25_TOPMed	MEGA_1000G	MEGA_HRC	MEGA_TOPMed	MAF
0.0297795933496674	0.0330725131163918	0.476807308693906	0.0390222309375177	0.0412539523409674	0.501012315573247	0.0455311411588287	0.046846527825416	0.514228888156378	0.0428972442127592	0.0457171511061706	0.510214596955361	0.000205885082978179
0.0877434864333502	0.0732878157031382	0.745379070646585	0.114214646901258	0.0923281665400134	0.779223333764679	0.132745803516358	0.105607850165564	0.797285486743981	0.121525225789506	0.10052906301963	0.790529685977645	0.000411766103989723
0.14762684544642	0.108549171989292	0.833416312628019	0.192126199549683	0.138261420047722	0.868632414917369	0.222532975120575	0.158484023299146	0.886891933639854	0.201913427013973	0.148671270665272	0.879518437955418	0.000617649303627155
0.200066541411949	0.142493744402248	0.868138026494573	0.259334113351441	0.182239017346617	0.903074779608017	0.30016450553645	0.21000273257349	0.920828741627787	0.272145440118001	0.194895405407822	0.913359259051826	0.000823533079738339
0.265862984821858	0.191520109770918	0.88898869492346	0.341701466372806	0.245638004057671	0.923172729033875	0.39420180037731	0.284210526450202	0.940176484988404	0.358268296642698	0.261406733939418	0.932968262457857	0.00111950338629491
0.324673756373926	0.242965807387866	0.90097380891177	0.4135887280209	0.311320258613185	0.934352781894209	0.473770292870318	0.35933373410935	0.950990176549687	0.433219259984495	0.329881295196116	0.943933165307817	0.00144091294426994
0.355487788143391	0.272086011297232	0.905232866779192	0.450272783664715	0.348156056571467	0.938305969739993	0.515368159355558	0.401721822425066	0.95487697838658	0.472194194173456	0.367986528630013	0.94795064316225	0.00164705929553778
0.38306169405347	0.298401834305445	0.908731846831505	0.482744033733436	0.381803456280629	0.941807742786828	0.550363834313995	0.440699782112102	0.958091911927118	0.506191497669355	0.403464582885041	0.951261080718275	0.0018529480180894
0.443068338310809	0.361310864159723	0.915101214970286	0.551389890077562	0.458652034857201	0.947703101307004	0.624164909378593	0.527221892935843	0.963758786339893	0.577405639558413	0.483667775094455	0.957008843308581	0.00242765408835431
0.518284787631343	0.439295105284024	0.922143347356172	0.634250869146686	0.551233861992471	0.954352917708672	0.712065842206427	0.629868304313761	0.970135003798504	0.66484745481408	0.581170725398498	0.963632041716536	0.00347060144316241
0.565602388372494	0.490051855655044	0.926281872737339	0.684776123972154	0.60843961500548	0.957975286213722	0.765211688383252	0.692118229948858	0.973840260861427	0.7192575849151	0.643236789648112	0.967664508273936	0.00450448868470702
0.598814505810824	0.525648691927176	0.929303225843009	0.720638678384642	0.649097347589826	0.960922023333957	0.802705689564316	0.736225598223038	0.976554282897309	0.758594563720741	0.687845583377247	0.970681061417376	0.00553824650705742
0.622409459897017	0.552700269922548	0.931480821745098	0.745415942909375	0.679108765605793	0.963130734779606	0.827613884678314	0.767144778202178	0.978470913123336	0.785411586038528	0.720377957471439	0.972856366533043	0.00656102843368989
0.639008858506188	0.572979105218789	0.93332927451958	0.762358823564748	0.700805102851982	0.96436747182158	0.845008417983729	0.789805731597675	0.979639272176802	0.804067353881704	0.743766731343373	0.974245781496855	0.00748949419201173
0.650584398083354	0.587079126150979	0.934166272338574	0.774855375599914	0.716423879918914	0.965134534862903	0.857541519956723	0.806379045873608	0.98049597939355	0.817370554183375	0.760672722442434	0.975312810304765	0.0084282813785954
0.662505803215497	0.603023708653346	0.93594941588185	0.786255374981296	0.732847160031177	0.96674962313157	0.868494580911139	0.822587298361432	0.981654882316552	0.828582947903941	0.777335661914961	0.976502830700651	0.00945864622932807
0.672458234776807	0.615325671195213	0.937102602397703	0.796134463953582	0.746465881752386	0.967591263343037	0.87722986414362	0.835603102761604	0.98247412006712	0.837713203036552	0.790104510350962	0.977262822456736	0.0104871072863598
0.679049615191423	0.623891121978257	0.938296374774109	0.802734661062453	0.755471533403001	0.968643230775448	0.883369029404802	0.84366368365444	0.98327087867993	0.84321993268015	0.797713942599147	0.978043581808629	0.0115176042747527
0.688908234880899	0.635411367264832	0.939739977010026	0.811623641356408	0.765950552397982	0.969703751836005	0.890444983715435	0.852325020754838	0.98400796985759	0.850872364135641	0.806912970176895	0.978925164442174	0.0125475018695319
0.692899670284834	0.640069438675552	0.940102748361533	0.816244761131103	0.7719971733449	0.970132536674839	0.895120572094408	0.858868128636699	0.984309527922868	0.855586573204486	0.813292678264897	0.979403075871246	0.0135675693971395
0.695388666606405	0.644645820745696	0.939747741361511	0.819058075197557	0.776503746556736	0.969774849780916	0.897504369793475	0.863170053236787	0.984034435019244	0.85801642775925	0.817073789326952	0.979034501624697	0.0144945112410975
0.701462311106934	0.649993347887944	0.941387988601262	0.825101567540086	0.782828386617164	0.971423898043672	0.902274877061963	0.867852047115923	0.985302733048222	0.862867179923182	0.822130218190984	0.980283024510704	0.0154347112944916
0.707162513582703	0.65743010203142	0.942775005985598	0.830105710260235	0.790240694697681	0.972300490819014	0.905873943311785	0.873978226237177	0.985942690203879	0.866885992780448	0.828835363832256	0.981000211798074	0.0164640862013555
0.711996332260012	0.662942166431878	0.943666567719863	0.834457093982693	0.795248425236466	0.972950860334071	0.909563076071644	0.878428979673979	0.986307949285571	0.870652696719662	0.833531354397263	0.981390133829744	0.0174915133311532
0.715476262121528	0.665842631538487	0.944003162854037	0.83725966153069	0.797950272905982	0.973120226890849	0.911782493383265	0.880807796215557	0.986342549172496	0.872813226879866	0.83561122154255	0.981561357171881	0.0185206342488771
