Core_TOPMed	OmniExp_TOPMed	Omni25_TOPMed	MEGA_TOPMed	MAF
0	0	0	0	0.18925
1	1	1	1	0.191437
0	0	0	0	0.19226
1	1	1	1	0.193163
1	1	1	1	0.195965
1	1	1	1	0.19732
1	1	1	1	0.198723
1	1	1	1	0.202141
1	1	1	1	0.208196
1	1	1	1	0.20902
1	1	1	1	0.211491
1	1	1	1	0.217347
1	1	1	1	0.219844
1	1	1	1	0.220322
1	1	1	1	0.225506
1	1	1	1	0.226019
1	1	1	1	0.228995
1	1	1	1	0.229407
1	1	1	1	0.230342
1	1	1	1	0.2317125
1	1	1	1	0.232084
1	1	1	1	0.23332
1	1	1	1	0.236506
1	1	1	1	0.239399
1	1	1	1	0.249485
0	0	0	0	0.251647
1	1	1	1	0.258151
1	1	1	1	0.264827
1	1	1	1	0.266687
1	1	1	1	0.26958
1	1	1	1	0.273083
1	1	1	1	0.279745
1	1	1	1	0.284185
1	1	1	1	0.286068
1	1	1	1	0.290655
1	1	1	1	0.291822
1	1	1	1	0.294069
1	1	1	1	0.297653
1	1	1	1	0.299959
0	1	1	1	0.307328
0	0	0	0	0.308405
1	1	1	1	0.310672
1	1	1	1	0.313092
1	1	1	1	0.318369
1	1	1	1	0.319679
1	1	1	1	0.32433
1	1	1	1	0.328942
0	1	1	1	0.331206
1	1	1	1	0.3385835
1	1	1	1	0.343557
1	1	1	1	0.345076
1	1	1	1	0.355789
1	1	1	1	0.367456
1	1	1	1	0.375669
1	1	1	1	0.382777
0.923076923076923	0.923076923076923	0.923076923076923	0.923076923076923	0.446465230769231
