Core_TOPMed	OmniExp_TOPMed	Omni25_TOPMed	MEGA_TOPMed	MAF
0.393131878969585	0.421363761884098	0.438824016726498	0.434032900706142	0.00020584854902363
0.490995514494209	0.563288031956439	0.610865635669813	0.596204057039566	0.000411696303351856
0.490795357897336	0.588630689456501	0.652610496858624	0.632308156602376	0.000617543984663502
0.49730587895699	0.61300875589339	0.68858847301068	0.6654478976234	0.000823392153613009
0.538622396722431	0.676212017753499	0.761736087401844	0.738477296005463	0.00111554319733697
0.56343828882689	0.709844559585492	0.794871794871795	0.774412116381028	0.00144093308755148
0.554491017964072	0.703849443969204	0.803592814371258	0.777074422583405	0.00164678139777588
0.566371681415929	0.710981496379727	0.81456154465004	0.793242156074014	0.0018526296078037
0.576809925812228	0.745267331798414	0.846891788181121	0.821693527756459	0.00241202448899974
0.608006209802617	0.787757817697938	0.887003770237303	0.865047682412952	0.00346238785096474
0.634501438970713	0.80717792449636	0.908244455730489	0.886575249703741	0.00450219206703911
0.646188340807175	0.833183856502242	0.925560538116592	0.902914798206278	0.00554030501569507
0.679915048543689	0.861650485436893	0.940837378640777	0.920206310679612	0.00656394506674757
0.696113074204947	0.863515901060071	0.943462897526502	0.924469964664311	0.00750052400618375
0.694020078568311	0.858577040593627	0.953295504146661	0.940200785683108	0.00843650347010039
0.72071181413742	0.891250617894217	0.956005931784478	0.9451309935739	0.00945116155215027
0.737951807228916	0.897590361445783	0.964457831325301	0.953614457831325	0.0104938313855422
0.755600814663951	0.90020366598778	0.959945689069925	0.94908350305499	0.0115138883910387
0.741433021806854	0.903426791277259	0.966510903426791	0.956386292834891	0.0125408334890966
0.773778920308483	0.910025706940874	0.976863753213368	0.966580976863753	0.0135807479005998
0.739229024943311	0.894557823129252	0.961451247165533	0.95578231292517	0.0144963382086168
0.766738660907127	0.911447084233261	0.971922246220302	0.954643628509719	0.0154316444924406
0.781714285714286	0.910857142857143	0.976	0.96	0.0164672387428571
0.790364583333333	0.921875	0.971354166666667	0.958333333333333	0.0175037235677083
0.785407725321888	0.925608011444921	0.975679542203147	0.971387696709585	0.0185320924177396
0.832520325203252	0.944715447154472	0.982113821138211	0.970731707317073	0.0195473733333333
0.804241435562806	0.942903752039152	0.972267536704731	0.975530179445351	0.0205769729200653
0.784017278617711	0.935205183585313	0.98488120950324	0.980561555075594	0.0215059194384449
0.794820717131474	0.914342629482072	0.974103585657371	0.972111553784861	0.0224184119521912
0.810752688172043	0.939784946236559	0.989247311827957	0.980645161290323	0.0234651967741935
0.789473684210526	0.931174089068826	0.965587044534413	0.963562753036437	0.0245003653846154
0.836492890995261	0.947867298578199	0.981042654028436	0.969194312796208	0.0255226052132701
0.827319587628866	0.95360824742268	0.981958762886598	0.974226804123711	0.0265700652061856
0.833333333333333	0.963768115942029	0.990338164251208	0.978260869565217	0.02757705
0.814332247557003	0.931596091205212	0.980456026058632	0.96742671009772	0.0285067345276873
0.876106194690266	0.973451327433628	0.991150442477876	0.988200589970501	0.0294598404129793
0.865853658536585	0.960365853658537	0.99390243902439	0.978658536585366	0.0304752631097561
0.86551724137931	0.958620689655172	0.996551724137931	0.982758620689655	0.0314873227586207
0.867109634551495	0.963455149501661	0.976744186046512	0.976744186046512	0.0325285112956811
0.863013698630137	0.969178082191781	0.98972602739726	0.982876712328767	0.033555297260274
0.887323943661972	0.96830985915493	0.98943661971831	0.982394366197183	0.0345784975352113
0.844559585492228	0.963730569948187	0.989637305699482	0.994818652849741	0.0354909984455959
0.831501831501832	0.948717948717949	0.981684981684982	0.970695970695971	0.0364642018315018
0.883177570093458	0.981308411214953	0.990654205607477	0.981308411214953	0.0374418560747664
0.863436123348018	0.947136563876652	0.991189427312775	0.982378854625551	0.0384877775330396
0.85981308411215	0.925233644859813	0.97196261682243	0.953271028037383	0.0395084462616822
0.93	0.975	0.995	0.99	0.0405014985
0.911764705882353	0.976470588235294	0.994117647058824	0.994117647058824	0.0415808976470588
0.907894736842105	0.980263157894737	1	1	0.0424856453947368
0.895061728395062	0.987654320987654	1	1	0.0434489913580247
0.910958904109589	0.986301369863014	1	1	0.0444544068493151
0.862275449101796	0.964071856287425	0.994011976047904	0.994011976047904	0.0454957886227545
0.910828025477707	0.961783439490446	1	0.993630573248408	0.0465264420382166
0.865497076023392	0.982456140350877	0.994152046783626	0.988304093567251	0.0475315011695906
0.923076923076923	0.980769230769231	0.993589743589744	0.987179487179487	0.0485620961538462
0.944444444444444	0.981481481481482	0.981481481481482	0.990740740740741	0.0494773611111111
0.929078014184397	0.985815602836879	0.99290780141844	0.99290780141844	0.0504280475177305
0.9	0.971428571428571	0.992857142857143	0.992857142857143	0.05146314
0.928057553956835	0.964028776978417	1	0.992805755395683	0.052524935971223
0.884057971014493	0.956521739130435	0.985507246376812	0.985507246376812	0.0535633985507246
0.919354838709677	0.975806451612903	1	1	0.0545263185483871
0.909836065573771	0.991803278688525	0.991803278688525	1	0.0555789786885246
0.91304347826087	0.978260869565217	1	1	0.056482622826087
0.904255319148936	0.968085106382979	1	0.98936170212766	0.05744635
0.9	0.954545454545455	0.990909090909091	0.990909090909091	0.0584715090909091
0.93	0.96	1	0.99	0.059440101
0.930232558139535	0.965116279069767	0.988372093023256	0.965116279069767	0.0605953139534884
0.932038834951456	0.990291262135922	1	1	0.0615259980582524
0.946236559139785	0.967741935483871	1	0.978494623655914	0.0625439784946237
0.91044776119403	0.970149253731343	0.985074626865672	0.970149253731343	0.0635603388059701
0.92	0.98	1	0.99	0.064453236
