Group.2	Core_1000G	Core_HRC	Core_TOPMed	OmniExp_1000G	OmniExp_HRC	OmniExp_TOPMed	Omni25_1000G	Omni25_HRC	Omni25_TOPMed	MEGA_1000G	MEGA_HRC	MEGA_TOPMed	MAF
IMPACT=HIGH	0.0201731275875047	0.0226571321038766	0.407301467820851	0.0197967632668423	0.0258185923974407	0.421001129092962	0.0252164094843809	0.0307866014301844	0.433120060218291	0.0508844561535566	0.0465939028980053	0.446518630033873	0.000205865038464434
IMPACT=HIGH	0.0411010558069382	0.0361990950226244	0.624434389140271	0.0512820512820513	0.0493966817496229	0.672699849170437	0.0682503770739065	0.0610859728506787	0.708144796380091	0.117269984917044	0.101432880844646	0.717194570135747	0.000411725624057315
IMPACT=HIGH	0.0718367346938776	0.0514285714285714	0.707755102040816	0.0955102040816326	0.0726530612244898	0.772244897959184	0.123265306122449	0.0889795918367347	0.808163265306122	0.186938775510204	0.143673469387755	0.833469387755102	0.00061757794122449
IMPACT=HIGH	0.0789133247089263	0.0633893919793014	0.761966364812419	0.117723156532988	0.0789133247089263	0.822768434670116	0.15653298835705	0.120310478654593	0.866752910737387	0.247089262613195	0.19404915912031	0.878395860284605	0.000823455773609314
IMPACT=HIGH	0.108649789029536	0.0822784810126582	0.798523206751055	0.176160337552743	0.117088607594937	0.862869198312236	0.24789029535865	0.161392405063291	0.908227848101266	0.292194092827004	0.235232067510549	0.920886075949367	0.00112140458860759
IMPACT=HIGH	0.141993957703928	0.0725075528700906	0.867069486404834	0.217522658610272	0.13595166163142	0.915407854984894	0.290030211480363	0.172205438066465	0.939577039274924	0.356495468277946	0.280966767371601	0.954682779456193	0.0014410286102719
IMPACT=HIGH	0.151291512915129	0.118081180811808	0.837638376383764	0.243542435424354	0.173431734317343	0.885608856088561	0.313653136531365	0.225092250922509	0.92619926199262	0.394833948339483	0.273062730627306	0.92619926199262	0.00164686276752768
IMPACT=HIGH	0.225806451612903	0.149193548387097	0.875	0.290322580645161	0.181451612903226	0.939516129032258	0.379032258064516	0.245967741935484	0.971774193548387	0.556451612903226	0.435483870967742	0.979838709677419	0.00185277697580645
IMPACT=HIGH	0.170603674540682	0.119422572178478	0.872703412073491	0.282152230971129	0.196850393700787	0.934383202099738	0.406824146981627	0.29002624671916	0.969816272965879	0.489501312335958	0.41994750656168	0.963254593175853	0.00242638833333333
IMPACT=HIGH	0.215730337078652	0.141573033707865	0.889887640449438	0.393258426966292	0.269662921348315	0.950561797752809	0.496629213483146	0.4	0.975280898876404	0.552808988764045	0.469662921348315	0.986516853932584	0.00345976325842697
IMPACT=HIGH	0.197492163009404	0.169278996865204	0.905956112852665	0.366771159874608	0.310344827586207	0.959247648902821	0.501567398119122	0.442006269592476	0.981191222570533	0.576802507836991	0.532915360501567	0.984326018808777	0.00449242009404389
IMPACT=HIGH	0.283950617283951	0.230452674897119	0.938271604938272	0.48559670781893	0.423868312757202	0.979423868312757	0.641975308641975	0.588477366255144	0.987654320987654	0.670781893004115	0.62962962962963	0.987654320987654	0.00554979407407407
IMPACT=HIGH	0.300546448087432	0.240437158469945	0.939890710382514	0.557377049180328	0.437158469945355	0.978142076502732	0.73224043715847	0.666666666666667	0.978142076502732	0.748633879781421	0.677595628415301	0.989071038251366	0.00656153612021858
IMPACT=HIGH	0.363636363636364	0.318181818181818	0.962121212121212	0.606060606060606	0.53030303030303	0.984848484848485	0.765151515151515	0.696969696969697	0.992424242424242	0.674242424242424	0.643939393939394	0.992424242424242	0.0074904603030303
IMPACT=HIGH	0.354037267080745	0.291925465838509	0.93167701863354	0.565217391304348	0.540372670807453	0.975155279503106	0.714285714285714	0.670807453416149	0.987577639751553	0.751552795031056	0.708074534161491	0.981366459627329	0.00844206366459627
IMPACT=HIGH	0.327272727272727	0.272727272727273	0.918181818181818	0.627272727272727	0.5	0.981818181818182	0.8	0.745454545454545	0.981818181818182	0.818181818181818	0.727272727272727	0.972727272727273	0.00948800309090909
IMPACT=HIGH	0.363636363636364	0.292929292929293	0.94949494949495	0.595959595959596	0.555555555555556	0.97979797979798	0.797979797979798	0.737373737373737	0.98989898989899	0.747474747474748	0.737373737373737	1	0.0104909303030303
IMPACT=HIGH	0.347368421052632	0.263157894736842	0.947368421052632	0.621052631578947	0.526315789473684	1	0.842105263157895	0.821052631578947	1	0.768421052631579	0.810526315789474	1	0.0115589978947368
IMPACT=HIGH	0.315068493150685	0.315068493150685	0.958904109589041	0.657534246575342	0.602739726027397	0.986301369863014	0.808219178082192	0.767123287671233	1	0.835616438356164	0.780821917808219	1	0.0125216657534247
IMPACT=HIGH	0.342857142857143	0.328571428571429	0.9	0.585714285714286	0.557142857142857	0.957142857142857	0.857142857142857	0.8	0.957142857142857	0.814285714285714	0.742857142857143	0.985714285714286	0.0135711942857143
IMPACT=HIGH	0.456521739130435	0.391304347826087	0.956521739130435	0.652173913043478	0.673913043478261	0.956521739130435	0.891304347826087	0.847826086956522	0.978260869565217	0.826086956521739	0.782608695652174	0.956521739130435	0.0144408065217391
IMPACT=HIGH	0.392156862745098	0.352941176470588	0.901960784313726	0.627450980392157	0.588235294117647	0.941176470588235	0.803921568627451	0.764705882352941	0.96078431372549	0.784313725490196	0.725490196078431	0.96078431372549	0.0154588823529412
IMPACT=HIGH	0.48936170212766	0.404255319148936	0.978723404255319	0.702127659574468	0.638297872340426	1	0.808510638297872	0.765957446808511	1	0.851063829787234	0.787234042553192	1	0.0164998170212766
