Group.2	Core_1000G	Core_HRC	Core_TOPMed	OmniExp_1000G	OmniExp_HRC	OmniExp_TOPMed	Omni25_1000G	Omni25_HRC	Omni25_TOPMed	MEGA_1000G	MEGA_HRC	MEGA_TOPMed	MAF
IMPACT=HIGH	0.0228368434407511	0.0860187769601624	0.15046942400406	0.0228368434407511	0.0941385435168739	0.161380360314641	0.0304491245876681	0.099720883024613	0.171783811215428	0.0720629281908145	0.109616848515605	0.19360568383659	0.000205978777721391
IMPACT=HIGH	0.0531914893617021	0.184397163120567	0.221040189125296	0.0614657210401891	0.196217494089835	0.267139479905437	0.0756501182033097	0.218676122931442	0.302600472813239	0.170212765957447	0.261229314420804	0.348699763593381	0.000411898657210402
IMPACT=HIGH	0.0748663101604278	0.22192513368984	0.275401069518717	0.0748663101604278	0.262032085561497	0.355614973262032	0.106951871657754	0.280748663101604	0.401069518716578	0.232620320855615	0.336898395721925	0.419786096256685	0.000617924016042781
IMPACT=HIGH	0.111111111111111	0.244444444444444	0.328888888888889	0.115555555555556	0.284444444444444	0.395555555555556	0.146666666666667	0.328888888888889	0.475555555555556	0.315555555555556	0.404444444444444	0.524444444444444	0.000823775377777778
IMPACT=HIGH	0.166666666666667	0.39	0.376666666666667	0.163333333333333	0.413333333333333	0.42	0.2	0.423333333333333	0.47	0.343333333333333	0.506666666666667	0.523333333333333	0.00111367266666667
IMPACT=HIGH	0.158878504672897	0.327102803738318	0.345794392523364	0.149532710280374	0.336448598130841	0.420560747663551	0.177570093457944	0.401869158878505	0.476635514018692	0.364485981308411	0.523364485981308	0.532710280373832	0.00144176196261682
IMPACT=HIGH	0.157142857142857	0.457142857142857	0.357142857142857	0.157142857142857	0.442857142857143	0.457142857142857	0.271428571428571	0.471428571428571	0.585714285714286	0.357142857142857	0.528571428571429	0.585714285714286	0.00164775585714286
IMPACT=HIGH	0.136363636363636	0.409090909090909	0.348484848484849	0.0909090909090909	0.409090909090909	0.393939393939394	0.121212121212121	0.46969696969697	0.515151515151515	0.409090909090909	0.545454545454545	0.545454545454545	0.00185324954545455
IMPACT=HIGH	0.161048689138577	0.471910112359551	0.449438202247191	0.213483146067416	0.546816479400749	0.569288389513109	0.258426966292135	0.546816479400749	0.632958801498127	0.456928838951311	0.644194756554307	0.677902621722846	0.00243889842696629
IMPACT=HIGH	0.229508196721311	0.650273224043716	0.469945355191257	0.245901639344262	0.672131147540984	0.601092896174863	0.360655737704918	0.693989071038251	0.688524590163934	0.584699453551913	0.814207650273224	0.721311475409836	0.00348186
IMPACT=HIGH	0.245901639344262	0.598360655737705	0.516393442622951	0.295081967213115	0.663934426229508	0.598360655737705	0.344262295081967	0.680327868852459	0.672131147540984	0.622950819672131	0.770491803278688	0.721311475409836	0.00451610426229508
IMPACT=HIGH	0.270833333333333	0.760416666666667	0.541666666666667	0.333333333333333	0.739583333333333	0.708333333333333	0.40625	0.708333333333333	0.802083333333333	0.53125	0.791666666666667	0.833333333333333	0.00553924427083333
IMPACT=HIGH	0.261538461538462	0.784615384615385	0.6	0.415384615384615	0.830769230769231	0.769230769230769	0.492307692307692	0.892307692307692	0.815384615384615	0.707692307692308	0.907692307692308	0.923076923076923	0.00654321446153846
IMPACT=HIGH	0.4375	0.8125	0.703125	0.5	0.8125	0.796875	0.59375	0.8125	0.8125	0.71875	0.90625	0.953125	0.00744671125
IMPACT=HIGH	0.46031746031746	0.793650793650794	0.714285714285714	0.53968253968254	0.841269841269841	0.825396825396825	0.587301587301587	0.888888888888889	0.873015873015873	0.73015873015873	0.936507936507937	0.904761904761905	0.00843758380952381
IMPACT=HIGH	0.468085106382979	0.893617021276596	0.723404255319149	0.553191489361702	0.872340425531915	0.808510638297872	0.553191489361702	0.914893617021277	0.851063829787234	0.702127659574468	0.893617021276596	0.893617021276596	0.00947118829787234
IMPACT=HIGH	0.568627450980392	0.882352941176471	0.666666666666667	0.627450980392157	0.92156862745098	0.882352941176471	0.647058823529412	0.92156862745098	0.92156862745098	0.784313725490196	0.941176470588235	0.980392156862745	0.0105026490196078
IMPACT=HIGH	0.527777777777778	0.833333333333333	0.833333333333333	0.611111111111111	0.888888888888889	0.916666666666667	0.666666666666667	0.888888888888889	0.888888888888889	0.833333333333333	0.944444444444444	0.916666666666667	0.0114088222222222
IMPACT=HIGH	0.5	0.886363636363636	0.636363636363636	0.590909090909091	0.863636363636364	0.818181818181818	0.772727272727273	0.886363636363636	0.840909090909091	0.795454545454545	0.954545454545455	0.863636363636364	0.0125912931818182
IMPACT=HIGH	0.558823529411765	0.882352941176471	0.794117647058823	0.764705882352941	0.970588235294118	0.882352941176471	0.882352941176471	0.970588235294118	0.970588235294118	0.852941176470588	0.941176470588235	0.970588235294118	0.0135262088235294
IMPACT=HIGH	0.5	0.861111111111111	0.75	0.694444444444444	0.888888888888889	0.861111111111111	0.75	0.861111111111111	0.944444444444444	0.75	0.944444444444444	0.944444444444444	0.0143813194444444
IMPACT=HIGH	0.454545454545455	0.863636363636364	0.681818181818182	0.545454545454545	0.909090909090909	0.863636363636364	0.681818181818182	0.909090909090909	0.909090909090909	0.863636363636364	0.909090909090909	0.863636363636364	0.0153687863636364
IMPACT=HIGH	0.388888888888889	0.833333333333333	0.777777777777778	0.5	0.944444444444444	0.944444444444444	0.5	0.944444444444444	0.888888888888889	0.722222222222222	0.944444444444444	1	0.0164047055555556
IMPACT=HIGH	0.5	1	0.5625	0.5625	1	0.75	0.6875	1	0.8125	0.6875	1	0.8125	0.01750684375
