Group.2	Core_1000G	Core_HRC	Core_TOPMed	OmniExp_1000G	OmniExp_HRC	OmniExp_TOPMed	Omni25_1000G	Omni25_HRC	Omni25_TOPMed	MEGA_1000G	MEGA_HRC	MEGA_TOPMed	MAF
IMPACT=HIGH	0.666666666666667	1	1	1	1	1	1	1	1	1	1	1	0.0533141333333333
IMPACT=HIGH	1	1	1	1	1	1	1	1	1	1	1	1	0.0541375
IMPACT=HIGH	0.428571428571429	0.714285714285714	1	0.571428571428571	0.857142857142857	1	0.857142857142857	1	1	0.857142857142857	1	1	0.0555489571428571
IMPACT=HIGH	1	0.875	1	1	0.875	1	1	0.875	1	1	0.875	1	0.056684925
IMPACT=HIGH	0.571428571428571	0.714285714285714	0.857142857142857	0.857142857142857	1	1	0.857142857142857	0.857142857142857	1	0.857142857142857	0.857142857142857	0.857142857142857	0.0573133857142857
IMPACT=HIGH	0.4	0.6	0.6	0.6	0.8	0.8	1	1	1	0.6	0.8	0.8	0.05854262
IMPACT=HIGH	1	1	1	1	1	1	1	1	1	1	1	1	0.05977766
IMPACT=HIGH	0.428571428571429	0.571428571428571	0.857142857142857	0.571428571428571	0.571428571428571	1	0.714285714285714	0.857142857142857	1	0.857142857142857	0.857142857142857	1	0.0605775285714286
IMPACT=HIGH	0.166666666666667	0.333333333333333	0.833333333333333	0.833333333333333	1	1	1	1	1	0.666666666666667	0.833333333333333	1	0.0615822666666667
IMPACT=HIGH	0.666666666666667	0.666666666666667	1	0.833333333333333	1	1	1	1	1	1	1	1	0.06247425
IMPACT=HIGH	0.666666666666667	0.666666666666667	0.833333333333333	0.833333333333333	1	1	1	1	1	1	1	1	0.0634692
IMPACT=HIGH	0.428571428571429	0.571428571428571	1	0.857142857142857	0.857142857142857	1	1	0.857142857142857	1	0.714285714285714	0.857142857142857	1	0.0644886
IMPACT=HIGH	0.833333333333333	0.833333333333333	1	0.833333333333333	0.833333333333333	1	0.833333333333333	0.833333333333333	1	0.833333333333333	1	1	0.0653560833333333
IMPACT=HIGH	0.625	0.5	1	0.625	0.625	1	1	0.75	1	1	0.75	1	0.0663373375
IMPACT=HIGH	1	1	1	1	1	1	1	1	1	1	1	1	0.067414575
IMPACT=HIGH	0.777777777777778	0.888888888888889	1	0.888888888888889	1	1	1	1	1	1	1	1	0.0685238444444444
IMPACT=HIGH	0.833333333333333	1	1	1	1	1	1	1	1	1	1	1	0.06954165
IMPACT=HIGH	0.5	0.5	0.5	0.5	0.5	1	0.5	0.5	1	0.5	0.5	1	0.0707081
IMPACT=HIGH	0.833333333333333	1	1	1	1	1	1	1	1	1	1	1	0.0714286166666667
IMPACT=HIGH	0.75	0.75	1	1	1	1	1	1	1	1	1	1	0.0724577
IMPACT=HIGH	0.666666666666667	0.833333333333333	0.833333333333333	1	1	1	1	1	1	0.833333333333333	0.833333333333333	0.833333333333333	0.0736243
IMPACT=HIGH	0.888888888888889	1	1	1	1	1	1	1	1	1	1	1	0.0744934555555555
IMPACT=HIGH	0.555555555555556	0.666666666666667	0.888888888888889	0.777777777777778	1	1	0.888888888888889	1	1	0.777777777777778	1	1	0.0755912444444444
IMPACT=HIGH	0.5	1	1	0.5	1	1	1	1	1	1	1	1	0.0764718
IMPACT=HIGH	1	0.75	1	1	0.75	1	1	0.75	1	1	0.75	1	0.077552525
IMPACT=HIGH	0.25	0.25	0.75	0.5	0.75	1	0.5	0.75	1	0.5	0.75	1	0.0783243
IMPACT=HIGH	0.777777777777778	0.777777777777778	0.888888888888889	0.888888888888889	0.888888888888889	1	0.888888888888889	1	1	0.888888888888889	1	1	0.0794794444444444
IMPACT=HIGH	0.8	0.8	1	0.9	0.9	1	0.9	0.9	1	0.9	0.9	1	0.08056813
