HO_1000G	HO_HRC	HO_TOPMed	MAF
0.0640361313272307	0.177334203807954	0.281823669051345	0.000206010809125724
0.14048799408098	0.34554091475392	0.471540313603491	0.000411996536885639
0.198169266384734	0.440116377963418	0.555435674555227	0.00061799500821971
0.239887535763921	0.499974375237349	0.602823350584848	0.000823986801901179
0.281965777890548	0.558787404792979	0.642962748282741	0.00112054216015291
0.317836329898469	0.603638531353482	0.672688674204013	0.00144097121446093
0.334367400083971	0.630521052842034	0.690997795749445	0.00164790212467761
0.354855413906235	0.656534108272359	0.704409034036198	0.00185398104472621
0.398990784214754	0.713422361056879	0.741606846601461	0.00243225448773504
0.465250304233952	0.78581254030074	0.791613978113914	0.00347604222633599
0.509123552014643	0.825107821628263	0.825522171100469	0.00450995900436903
0.560460945223678	0.853839992430796	0.855969904689817	0.00554564158466696
0.592776954902772	0.867609252172114	0.874651846297062	0.00651838454814853
0.622317717303938	0.876390794416285	0.889248751975242	0.00743709089431294
0.653171806765471	0.884488420635819	0.902179856318588	0.0084357380135762
0.677969030170363	0.891645322166175	0.913866964880556	0.0094655544418007
0.695992431734809	0.897458444682925	0.920156934536961	0.0104977385588732
0.718927089799688	0.900892523505988	0.926971225036716	0.0115264531523006
0.735907018687711	0.901989601944132	0.930681656914961	0.0125545337310223
0.74541640312699	0.903440199977038	0.935284142739351	0.0135188854265168
0.76695887698163	0.906968819943684	0.940006910564913	0.014449010420513
0.780057512588117	0.910554894259819	0.943619315206445	0.0154426430996979
0.792207719567909	0.911099654156526	0.945422142521669	0.016469530228214
0.805102638770664	0.914640965906545	0.949367759060974	0.0175070070225348
0.814712124630419	0.914728024033152	0.951956196492395	0.0185248699383735
0.825980578475846	0.915995615309771	0.954125778693185	0.0195529496973679
0.833388510593124	0.916338813145483	0.954727050759035	0.0205209708730797
0.842150125262177	0.918566432649732	0.956963542880447	0.0214544147940457
0.851797777052252	0.919936207361563	0.959100231379619	0.0224494233906341
0.86087144651883	0.924839439623689	0.961908566336518	0.0234755921246384
0.859141232122516	0.922884112770535	0.96133971965574	0.0244943718833059
0.868409331676694	0.925439494506932	0.963280702328015	0.0255397234534397
0.87220854771928	0.923891221869965	0.962984512239489	0.026551629258701
0.877528010366826	0.926550877192982	0.963943241626794	0.0275220597567783
0.881812660579469	0.925707340211075	0.96543525435788	0.0284564370014625
0.886317622039633	0.929297883035283	0.965868187530208	0.0294521674722088
0.890265698772427	0.931952569247718	0.967778446647781	0.030478466245672
